name,latitude,longitude
Abad,34.17094,73.49632
Abbowal,32.8855,74.19982
Abdullahpur,33.17761,73.692
Abdupur,33.03526,73.82144
Abhal,34.30888,73.46982
Achhimmunda,34.6023,73.78996
Achhla,33.9429,74.20207
Achhral,34.2624,73.54283
Adrad,33.57202,73.7774
Afghanabad,33.09003,73.62228
Afzalpur,33.06393,73.77817
Afzalpur Durrah,33.05266,73.77573
Aghar Colony,33.48802,73.89824
Agiwas,34.00335,74.07848
Agli Basti Baihk,34.83707,74.54378
Agwand,33.529,73.81741
Ahmadabad Colony,33.5943,73.9475
Ai,32.84974,74.23967
Aihal,33.64375,73.71704
Aima,32.9726,74.03379
Aima Bari,33.03425,73.69772
Aimallyas,33.00055,73.73023
Ain Ban,34.22388,73.89024
Ajror,33.54929,73.75226
Akali,33.55636,73.99458
Akhor Ban,33.79874,73.86628
Akhori,33.91862,74.15156
Akhrot Baihk,34.79678,74.62919
Akhruta,33.68792,73.74403
Akhruta,33.78965,73.9205
Akhruti,33.66374,73.90864
Akramabad,33.72323,73.89341
Alam,34.41125,73.57659
Alam Nagar,32.88896,74.18666
Alam-da-Gura,32.98821,74.22723
Alfa,34.25458,73.7334
Alghar,33.04158,73.80037
Alhar,33.91221,73.65951
Ali Baig,33.01172,73.86835
Ali Koh,34.3755,73.74255
Ali Sojal,33.85693,73.84314
Ali Sujal,33.8751,73.88084
Aliabad,34.7198,74.97127
Aliabad,33.93872,74.08201
Alkai,34.22034,73.76096
Alkar,33.45293,73.96622
Allah Dad Khan,33.18471,73.67373
Ambagai,33.05143,74.17261
Ambagai,33.0902,74.15501
Amban,33.30712,73.87287
Ambargara,33.03954,74.20639
Amber,33.1575,73.73743
Ambor,34.33129,73.47215
Ambriala,32.91397,74.2181
Amga,33.0893,74.0483
Amra Sawan,34.15655,73.80476
Amral,33.33006,74.00024
Amrutta,33.66749,73.91612
Anchhoha,33.39981,73.53075
Andah,33.39109,74.0047
Andarla Nar,33.49323,74.14237
Andhair Bela,34.70664,74.1224
Andra,33.17895,73.81672
Andra Bhaisnan,33.17956,73.82356
Andra Jattan,33.1783,73.80557
Andra Kalan,33.18063,73.81313
Andra Seri,34.14878,73.81298
Andraka,33.52785,73.66677
Andral,33.59528,73.64845
Andrar,33.38853,73.75861
Andrasiri,34.1195,73.70409
Androt,33.83414,73.65578
Androt,33.72138,73.77999
Andruth,33.60717,73.67441
Andruth,33.68308,73.93436
Andruth,33.51874,73.71842
Andwa,33.55287,73.79081
Angra,33.95417,74.25833
Anhari,33.75066,73.84065
Anjalkor,33.68605,73.73351
Annawali,34.00602,74.19572
Anshungi,34.5578,73.86181
Antanian,34.31163,73.83836
Anti,33.57132,73.71366
Anwar Sharif,34.28987,73.5291
Ara,34.025,74.175
Ara,33.06482,73.68069
Ara,33.19115,73.52039
Arak,33.06302,74.15404
Arangkel,34.80867,74.35031
Ararah,33.20906,73.84778
Ararah,33.19847,73.85831
Ararah Bensi,33.20584,73.85367
Ararah Town,33.21848,73.84469
Araunta,33.75199,73.88171
Ari,33.86215,74.15071
Ari Dhok,33.94677,74.26703
Ari Gala,33.5618,73.95698
Arial,33.09341,74.03639
Arja,33.97588,73.65537
Arja Bridge,33.97608,73.66166
Arkasi,34.92574,74.44495
Arlian,34.44203,73.59593
Arshadabad,32.89188,74.17836
Arshadabad,32.89347,74.17986
Aru Khethor,34.32331,73.50867
Asgharabad,34.31623,73.48536
Ashoba Dara,33.48764,73.80175
Ashraf Baihk,34.88535,74.63457
Ashrog,34.45102,73.47257
Asla Shamali,32.96781,74.17334
Athhmuqam,34.58887,73.91306
Athmuqam,34.57173,73.89724
Athruin,33.54799,73.86843
Athshal,34.30745,73.45091
Atian,33.33762,74.10695
Atkora,33.62051,73.63942
Atkot,34.47723,73.83
Atorban,33.93816,74.2454
Atrur,34.58325,73.79676
Atzalpur,33.07067,73.75045
Aukharian,34.75402,73.9924
Awan Patti,34.25411,73.64823
Awan-di-Ker,32.96644,74.21189
Awana,33.01934,73.71032
Ayubabad,33.082,73.62162
Azizabad,33.86075,73.66512
Azud Pattan,33.73281,73.61658
Bab-i-Alamgir,33.48709,74.10445
Baba Dittian,32.99462,73.99429
Babbail,33.65724,73.77074
Babbanwal,34.73023,74.12632
Babot,33.01916,74.22695
Babu Muhallah,34.3729,73.4744
Babun Baihk,34.89511,74.42703
Babun Baihk,34.7033,73.83754
Babyam,33.15046,73.65721
Bachruta,34.32205,73.83399
Badal,33.33541,74.01674
Badal Banni,33.45349,74.00481
Badar Awan,33.18202,73.81829
Badda Gura,32.94009,74.12842
Baddi Bari,33.67277,73.90435
Bade na Pai,33.0468,74.07117
Badhal Sharif,33.89323,73.99646
Badheri,33.52294,73.63347
Badherni,33.45677,73.87205
Badhral,33.32887,73.8961
Badill,33.49834,73.74523
Badoran Baihk,34.7674,74.0684
Badshahpur,33.10204,73.65265
Baduwala,32.89039,74.23913
Bagah,33.53207,73.72398
Bagal,34.41971,73.60638
Bagan,33.58063,73.90869
Bagantar Baihk,34.67808,73.90037
Bagawan,34.6423,73.76763
Bagchaga,33.05443,74.1993
Bagdon,34.61963,73.8508
Bagdur,34.18636,73.78925
Baggan,33.7685,73.67389
Bagginur,34.08566,73.79494
Bagh,34.26062,73.84557
Bagh,34.47964,73.49419
Bagh,33.98111,73.77608
Bagh,32.92119,74.21582
Bagh,32.9656,74.11143
Bagh Kardla,34.33731,73.52236
Baghai,34.43677,73.5931
Baghbanpur,33.75057,73.69718
Baghdari Nakka,33.94469,73.91399
