name,latitude,longitude
Aab-e-Noghai,28.02293,66.43604
Aabdul Fateh Jamali,28.36992,68.14837
Ab-e-Noghai,28.02528,66.43353
Ab-i-Gul,29.66976,66.90258
Ab-i-Gum Kili,29.80676,67.3992
Ab-i-Sar,26.00196,63.07998
Ababaki Kili,28.21619,66.30946
Ababakri,28.36121,65.19852
Ababki,29.55391,66.55784
Abad,27.07709,66.2007
Abad,29.71284,66.44576
Abad,29.9047,66.65676
Abbas Bazar,26.06193,62.75657
Abbas Goth,25.40808,65.4856
Abbas Khan,28.58549,68.44063
Abbas Khel,30.69667,67.35028
Abda Kal,30.82178,66.50738
Abdakai Bala,30.88628,67.38215
Abdakai Koza,30.87293,67.40277
Abdal,30.84693,67.49871
Abdar,27.99704,66.31606
Abdari Landi,28.75757,63.92193
Abdoi,26.33157,62.30625
Abdol Aziz,29.49444,66.53611
Abdu Goth,26.26868,66.7717
Abdu Majid Brahui,28.46691,68.55281
Abdu Rehman,31.28232,66.89592
Abdul Aziz,26.40315,65.61241
Abdul Aziz,31.17488,66.85415
Abdul Aziz Bazar,26.70795,63.48744
Abdul Aziz Lund,30.27068,69.77808
Abdul Bari,31.27864,66.95246
Abdul Buqi Kior,30.82623,68.77149
Abdul Fateh Khoso,28.5111,68.42508
Abdul Fateh Rind,28.43037,68.20548
Abdul Fattah,29.10734,66.48665
Abdul Gaffur Bazar,27.22424,64.74562
Abdul Ghafar Baloch,26.45032,65.6328
Abdul Ghaffar Jamali,28.1557,68.04291
Abdul Ghafur,27.36254,66.86263
Abdul Ghafur,27.61576,66.52428
Abdul Ghafur Kili,27.52306,66.53173
Abdul Ghafur Kili,30.07289,69.03963
Abdul Ghafur Rahuja,28.39025,68.1757
Abdul Ghani,31.51118,67.77981
Abdul Ghani,28.91445,64.02031
Abdul Ghani Gis,29.3189,63.96416
Abdul Ghani Khosa,28.43274,68.72542
Abdul Hakim,28.46139,66.31558
Abdul Hakim,28.04652,63.26218
Abdul Hakim,26.92373,64.70981
Abdul Hakim Bazar,26.60941,63.79693
Abdul Hakim Brahui,28.3701,68.18166
Abdul Hakim Kili,29.91487,66.97645
Abdul Halim,30.78989,68.60521
Abdul Hanan,27.60008,66.4878
Abdul Haq Brahui,28.42419,68.13918
Abdul Jabbar,28.97978,66.27462
Abdul Jalal Kili,30.72155,68.27212
Abdul Jalil,28.71937,66.63593
Abdul Karim,26.34975,66.61537
Abdul Karim,25.34159,62.42738
Abdul Karim,26.55474,65.67669
Abdul Karim Babar Khan,28.40581,68.18854
Abdul Karim Bakhlani,28.46146,68.93445
Abdul Karim Bazar,25.29675,62.30227
Abdul Karim Brahui,28.07586,67.70534
Abdul Karim Chanal,28.13998,66.41628
Abdul Karim Chanal,28.16645,66.46711
Abdul Karim Halq,26.7534,63.87055
Abdul Kasnia,28.24308,66.11462
Abdul Khaliq,26.38139,66.7073
Abdul Khaliq,28.02109,66.33572
Abdul Khaliq,31.14062,66.91404
Abdul Khaliq,28.09531,66.48798
Abdul Khaliq,30.90048,67.19201
Abdul Khaliq,30.65317,66.41106
Abdul Khaliq Lahri,28.4881,68.16473
Abdul Khaliq Umrani,28.5075,68.38439
Abdul Khan,29.67514,66.41154
Abdul Latif Hotal,25.66676,67.33133
Abdul Majid Brahui,28.45688,68.58817
Abdul Majid Lehri,28.49493,68.20838
Abdul Majid Rabat,30.23113,68.58285
Abdul Malik,30.82591,68.5807
Abdul Manan,30.77613,68.61586
Abdul Nabi,30.11987,66.96708
Abdul Nabi Brahui,28.2694,68.17755
Abdul Nabi Pandrani,28.38906,68.22756
Abdul Qaddus Kili,30.76266,68.5981
Abdul Qadir,28.4558,68.63061
Abdul Qadir Baloch,26.43671,65.62158
Abdul Qadir Bugti,28.57453,68.47256
Abdul Qadir Gowarani,28.09707,66.22581
Abdul Qadir Khosa,28.47533,68.53195
Abdul Qadir Kili,27.51484,66.5346
Abdul Qadir Mailan,30.81389,68.29722
Abdul Qadir Shikart Bazar,26.69461,63.42065
Abdul Rahim,28.05733,66.34478
Abdul Rahim Bazar Paleri,25.27231,61.98278
Abdul Rahim Gis,29.29037,63.93198
Abdul Rahim Khan,28.47993,68.7277
Abdul Rahim Kili,31.51572,69.09321
Abdul Rahman,30.58367,66.68797
Abdul Rahman,26.98582,64.89111
Abdul Rahman,26.63551,65.76084
Abdul Rahman,26.53876,65.79427
Abdul Rahman,28.36123,68.11033
Abdul Rahman Brahui,26.66624,66.3343
Abdul Rahman Gis,29.28374,64.06541
Abdul Rahman Pathan,28.35585,68.23134
Abdul Rahman Qalandari,26.62171,66.79687
Abdul Rahman Shaikh Kili,27.47222,64.13997
Abdul Ramzan,28.2337,66.11728
Abdul Rashid Chholgri,28.40658,68.12918
Abdul Rasul,28.24969,66.48316
Abdul Rasul,30.58014,66.64344
Abdul Razaq Khosa,28.48421,68.50401
Abdul Razzad Kili,30.32142,66.62181
Abdul Rehman,26.29526,62.9643
Abdul Rehman Bazar,26.62105,63.78545
Abdul Rehman Hijwani,28.39448,68.30114
Abdul Rehman Lungo,28.75237,65.68596
Abdul Salam,30.69028,67.0689
Abdul Salam Kili,31.19377,68.43396
Abdul Samad,28.44248,68.68532
Abdul Sattar,30.79782,68.59988
Abdul Shakur,30.76672,68.59423
Abdul Suttar,26.45459,65.68176
Abdul Wadudh Akhullazada,30.69798,68.33629
Abdul Wahab,28.414,68.3813
Abdul Wahab Brohi,28.07681,67.84335
Abdul Wahid,31.47758,67.82927
Abdul Wahid Mirwani,26.71217,66.76739
Abdul Wahid Sasoli,28.09888,66.22264
Abdullah,30.71306,67.06083
Abdullah,25.76928,67.07749
Abdullah,29.96599,67.06669
Abdullah,26.64591,65.7703
Abdullah Bazar,26.62715,63.22231
Abdullah Bazar,25.27341,62.32736
Abdullah Chanal,28.21139,66.42907
Abdullah Goth,26.27857,66.76238
Abdullah Gowaranjo,28.08919,66.21695
Abdullah Halq,26.89202,63.89637
Abdullah Halq,26.7618,63.85829
Abdullah Jan,30.58371,66.68945
Abdullah Jan,30.56567,66.60904
Abdullah Jhugi,28.54687,64.05256
Abdullah Khan,29.30571,64.32191
Abdullah Khan,27.98488,66.57251
Abdullah Khan,30.91391,69.78039
Abdullah Khan,30.435,66.90417
Abdullah Khan Habibani,28.45863,68.93802
Abdullah Khan Rind,28.39846,68.2269
Abdullah Kili,30.6417,67.5669
Abdullah Shah,28.60612,68.39222
Abdullah Shah,28.12321,67.81339
Abdullah Shambani,28.35003,67.47783
Abdullah Town,30.16835,67.00504
Abdullah Umrani,28.34945,67.78076
Abdullah Wadho,26.8968,66.56902
Abdulwali,30.45366,66.50913
Abdur Rahman,31.14789,66.96515
Abdur Rahman Gis,29.28281,64.04355
Abdur Rahmanzai,30.36038,66.63928
Abdur Rehman,30.60241,66.48659
Abdur Rehman,28.82303,66.5241
Abdur Rehman Bal Bazar,25.51054,61.91645
Abdur-Rahman,27.57167,65.37065
Abdur-Razzaq,30.15615,68.52579
Abgul,29.48445,66.77242
Ablo,27.64802,66.14068
Abra,28.45946,68.22698
Abra Wand,28.9801,67.9316
Abrah,29.06076,67.64973
Abro Wah,28.31997,67.48046
Absar,25.99473,63.08575
Abu Bakar,26.30989,66.64705
Abu Said,30.76463,67.21137
Abu Shah Chah,25.24704,63.39864
Abzai,25.26861,63.42615
Achakzai Colony,30.15968,67.02397
Achehhar,25.75931,67.212
Achrani,26.24375,66.35139
Adal Khan Colony,28.62877,69.20612
Adam,26.32189,65.02803
Adam,26.31975,66.56499
Adam Goth,24.99635,66.71352
Adam Khan,27.62095,65.44107
Adam Khan Brahui,28.22518,68.16597
Adam Khan Kili,30.14624,66.98634
Adam Khan Lohar,28.58145,67.92361
Adam Khan Magsi,28.34347,68.15423
Adam Khazai,30.94637,70.03299
Adam Kili,31.71773,69.32374
Adam Pir,25.30719,66.71051
Adam Zawar,31.216,70.09185
Adampur,28.54362,68.59233
Adamzai,29.45622,66.52227
Adamzai,30.48498,66.6872
Adamzai,30.31964,69.25363
Adamzai,29.6655,66.39536
Adamzai Kili,31.06854,69.42625
Adamzai Kili,31.06712,69.40413
Adanzai,30.93605,69.5808
Adanzai,30.91981,69.5617
Addarzai,30.98579,69.30718
Addozai Kili,30.93551,69.49702
Adhani Kili,28.3155,67.36727
Adhga Haidera,30.79248,69.50553
