name,latitude,longitude
Abadan,35.11324,76.48255
Abadas,35.50515,74.88234
Abbasabad,35.4136,75.51839
Abdul Ghani di Baihk,35.94781,73.8621
Abdul Haty di Baihk,35.882,73.89319
Abdul Qadir Baihk,35.2005,74.74058
Abdul Rahman di Baihk,35.93612,73.71946
Abdul Rauf di Baihk,35.91807,73.68635
Abdullah Khan Maidan,36.4514,75.65755
Abdullah Khan di Baihk,35.76465,73.95298
Abgarch,36.63767,74.92725
Abru Brok,35.23291,75.866
Achash,36.09234,74.28907
Achhri,34.77878,75.69367
Achhu,35.84114,74.62873
Adil di Baihk,35.78735,73.96442
Ahdulil Harai,36.0965,73.536
Ahmad Mir Baihk,35.17938,73.96873
Ahmad Shah di Baihk,35.92777,73.66932
Ahmadabad,35.29273,74.83727
Ai Gah,35.15836,75.00268
Aish,36.17606,73.73172
Ajoi Harai,35.92613,73.67603
Akalo Chhich,35.22787,75.03923
Akbar Baihk,34.73777,75.87903
Akbarabad,34.74942,75.7321
Akhot,35.65249,73.81696
Akhri Das,34.66453,75.50531
Akhrot,35.37642,73.81597
Akhun Khel Baihk,35.93242,73.22696
Akunpa,35.09148,75.99055
Alchori,35.52963,75.64486
Ali Camp,34.89232,75.11514
Ali Malik Mar,35.0768,75.4926
Ali Malik Naril Baihk,35.19489,74.62196
Aliabad,36.30703,74.61545
Aliabad,36.31539,74.65269
Aliabad,35.41818,75.51551
Aliabad,35.48579,75.69527
Alimir,35.18608,75.90561
Alogh Bransa,35.03014,76.37335
Ambezh Gharai,35.94788,72.71753
Ame Ges,35.4222,74.3418
Aminabad,36.81239,74.61451
Amirabad,34.99982,76.51797
Amiroshing,35.67142,74.54739
Amono Baihk,35.24569,75.02681
Amphari,35.92194,74.29449
Ando,35.49411,75.76526
Anga Brak,35.61762,75.12265
Anoshal,36.36141,72.94297
Apalwa,35.09071,75.83279
Aq Tash,36.40284,75.72231
Arados,35.21204,76.11138
Arandu,35.86411,75.34535
Arinchu,35.67583,75.44037
Asambar,36.41149,73.83248
Ashprot,36.09396,74.11693
Ashtigar,36.8018,74.485
Askar Das,36.30239,74.64715
Askole,35.69224,75.85458
Askor Brak,35.65051,75.07726
Asqurthan,36.39623,73.14688
Astana,35.28229,75.60871
Astok,35.3822,74.95361
Astor,35.35616,74.85983
Atabad,36.32552,74.82922
Atkash,36.34055,73.34871
Atri Patri,35.15141,74.17603
Att,35.82369,73.65931
Attok,35.70177,73.88437
Ayub Di Baihk,34.91401,75.0326
Azimabad,35.04033,76.06746
Azrangbai Basti,35.14026,74.17592
Baba Chan,34.63184,75.93764
Babar Shah Harai,35.9375,73.44563
Babil Baihk,35.05479,75.65009
Babune,35.30171,74.09161
Baburet,36.19494,73.54078
Babusar,35.20129,74.04763
Bachal,35.70249,73.61126
Bachar,35.41555,73.78566
Bachicha,35.59,75.3329
Bad Swat,36.5439,74.03069
Badkhshan Shal,36.33497,72.89926
Badoter,36.49623,73.16138
Baghdaz Brok,35.6695,75.39173
Baghicha,34.90187,76.19814
Bagial,35.3864,73.84909
Bagrot,35.39213,73.82672
Bahach,36.17755,72.77692
Bahai,35.69782,75.48603
Bahushtaro Olat,36.19843,72.99196
Baihk,35.34995,74.44509
Baikhailo,34.70686,75.87932
Baikobas,35.52286,74.80518
Baili Baihk,35.90108,74.02054
Baing Baihk,35.14559,74.9479
Baintha,35.86949,75.75132
Bairo Thali,34.64923,75.85978
Bajoban,36.04127,74.60313
Bakhat,35.36431,74.8214
Bakhet,35.39002,75.01328
Baklit,35.1908,74.04411
Bakraich,35.50858,74.87084
Bakure Harai,36.08919,73.71868
Bal Brok,35.72016,75.38116
Balachi,35.67282,74.82704
Balam,35.11042,75.76396
Balambon Brok,35.30393,75.39983
Balaoshat,35.08736,75.06013
Balasan,35.80088,74.4856
Balchi,35.66676,74.90015
Balda,35.92187,74.30113
Bale Gund,35.28519,76.39691
Balegrong,35.68494,75.0198
Balo,35.16021,76.35125
Balor Khan di Baihk,35.92815,73.67289
Balsisgang,35.43456,75.76623
Baltara Brok,35.7204,75.36922
Balti,36.11003,73.3186
Balti Khar,35.10897,75.84205
Baltiring,36.39671,73.26135
Baltit,36.32692,74.66141
Baltoro,35.34018,76.16433
Baltwa,35.25064,76.19473
Balugosh,35.46999,74.00109
Balumkshi,36.49164,73.08669
Bamachan,34.74651,76.10183
Banba Changma,35.45138,76.05446
Bandbel,35.38269,73.85923
Bandokha,34.91475,76.20597
Bangah,35.48129,74.3158
Bangi Das,36.22316,74.5497
Bango,35.63323,75.13613
Bango Brok,35.64362,75.18824
Banil,35.6651,73.67782
Bankha,35.49489,75.69495
Bapu Sair,36.27352,72.91302
Baqir Colony,35.18178,76.16504
Bar,36.37944,74.28509
Bar Jangal,36.43986,73.84445
Bar Kahor,35.20369,76.58085
Bara Baggu,35.72653,73.94532
Bara Bransa,35.33255,76.109
Bara Daro,35.6515,74.35469
Bara Das,34.64613,75.55378
Bara Khui,35.71377,73.94746
Bara-khun,36.87583,75.16291
Barah Bala,35.19831,76.2787
Barah Ghotam,36.80829,74.7785
Barah Pine,35.21063,76.26529
Barai,35.08537,74.24802
Barcha,36.04521,74.64158
Barche,35.9111,74.7898
Barchong,35.2268,75.95214
Bardom Tir,36.6678,74.7678
Barendas,36.47214,73.38846
Bargin,35.674,74.57008
Bargin,35.47811,74.47052
Bargu Bala,36.05197,74.13471
Bargu Pain,36.04876,74.16291
Bari,35.68065,74.35441
Bari Baihk,35.94335,73.13565
Bari Harai,36.33467,73.72908
Bari Seri,35.68445,74.39078
Bari-Harai,36.23793,73.85529
Baria Kour,35.32881,73.76209
Bariban,35.63926,74.18165
Baripa,35.632,75.31214
Barishal,36.32162,74.69502
Barjumaling,36.55177,73.17848
Barkha,36.29602,73.39794
Barkulti,36.15576,72.88061
Barkulti,36.48707,73.3889
Barkusho,35.13265,75.95511
Barmas,35.68406,74.61096
Barmas,35.91713,74.30252
Baro Das Baihk,35.13151,74.66461
Barobas,35.93372,73.31601
Baronirl,35.4081,74.8
Barosingal,36.2183,73.4718
Barq Chun,35.16014,76.32771
Barqhelts,34.84444,76.16953
Barsam,35.49243,75.316
Barsat,36.16342,72.68081
Barsekoi Brok,35.66809,75.27351
Bartar,36.0819,74.36163
Barthun,35.5018,74.84592
Barti,36.16987,74.34013
Barti,36.00549,74.42081
Barting,35.61124,74.14982
Barut,36.46066,74.89593
Basha,35.31491,74.13139
Basha,35.8239,73.36123
Bashal,35.63884,73.55035
Bashgri,36.2064,74.13162
Bashish,35.68004,73.62383
Bashit,35.40093,73.74641
Bashkach,35.50774,74.87421
Basho Shal,36.24853,73.09152
Bashu,35.46909,75.35853
Basin Pain,35.92142,74.27548
Basinpar Bala,35.93154,74.24119
Baskomal,35.68084,73.43535
Baswa,35.2685,73.81727
Batal,35.41287,73.78083
Batali,35.84849,73.58689
Batel,35.978,73.3781
Bateli,35.7038,74.10604
Bateli Baihk,35.19911,74.6355
Bathan,35.46195,75.35002
Bathrait,35.37245,74.5948
Batkor,35.8701,74.58122
Batmul,35.45237,74.81182
Batunpi Thang,34.84527,76.14889
Batwash,35.04861,74.72421
Batyatum Jut,36.49848,73.04202
Bayun,35.73327,73.38709
Bazarar,35.30557,73.93912
Bazgang,35.64334,75.3072
Behshuri,34.80053,76.13929
Bejopatro,35.38024,74.47307
Belangah,35.32898,73.82685
Belthe Brok,35.67195,75.43334
Beri Chubatang,36.4414,73.4438
Berkash,35.74421,74.43545
Bero Kot,35.64386,73.6151
Besakal,35.34389,73.99034
Besil,35.20565,74.16513
Beskiyeng,36.8203,74.1874
Bethambah,35.47154,74.35155
Bewbin,35.14343,74.32108
Beyang Baihk,35.11665,74.73404
Beyari,35.73539,73.65969
Bezar,35.41715,74.57694
Bezar Baihk,35.41691,74.5607
Bezat,35.26976,73.95678
Bhecha,35.2698,76.3964
Bhil Dadar,35.94217,73.22726
Bhimpa,35.43487,75.72105
Bhit,35.71347,74.95356
Bholang Basti,35.1423,74.14481
Bholang Basti,35.15646,74.14747
Bhottai,35.45031,73.92582
Bhulpa,35.34443,75.84705
Bhundo,35.48403,75.65166
Bhurt,36.57773,74.06398
Biachin,36.2194,74.3945
