name,latitude,longitude
Abbasiaabad,33.73451,73.20762
Abdullah Town,33.62671,72.98542
Abpara,33.70771,73.08692
Afghan Kachi Basti,33.63814,73.02378
Akrala,33.62958,73.26408
Ali Haiderabad,33.62126,72.97298
Alipur,33.64894,73.17787
Aneyian Da Mohra,33.58147,73.18591
Apra Gohra,33.5461,73.25027
Ara,33.63541,73.25245
Ari Saiyidan,33.57432,73.28227
Asami Bula,33.7,73.06667
Athal,33.72689,73.22916
Awan Town,33.62399,72.98842
Babri,33.76633,73.26216
Badhalan,33.66434,73.29589
Badia Maira,33.6645,72.9874
Badia Qadir Bakhsh,33.66615,72.98616
Bagh Bhattan,33.7,73.08333
Bagh Jogian,33.61895,73.29067
Bagh Kalan,33.7,73.08333
Bajran,33.75845,73.15398
Bakra,33.63249,73.00692
Bakra,33.63709,72.99749
Balagh,33.70444,73.18883
Balora,33.65048,73.28759
Ban,33.69552,73.37247
Ban,33.60666,73.25667
Ban Mohra,33.64528,73.01947
Banian,33.71667,73.03333
Banni Gala,33.71302,73.16055
Banniwali Sarkar,33.71395,73.2101
Bar Khanzada,33.70566,73.03481
Bar Tamma,33.73333,73.08333
Behria Town,33.55886,73.11964
Bekha Saiydan,33.68335,72.99301
Betha,33.76757,73.25855
Bhaikar Akku,33.69021,72.97439
Bhaikar Fateh Bakhsh,33.6915,72.95927
Bhal,33.73333,73.1
Bhambartrar,33.61435,73.26895
Bhandar,33.55982,73.17251
Bhangril,33.7,73.13333
Bharakao,33.7381,73.18172
Bhukar,33.58426,73.17394
Bhukar,33.59082,73.16463
Bicho,33.73333,73.06667
Bilal Town,33.63104,73.1198
British Colony,33.72029,73.11078
Bunna Pija,33.60082,73.2275
Bura Bangial,33.60282,73.19308
Capital Development Authority Scheme Number One,33.64178,73.14605
Capital Development Authority Scheme Two,33.66369,73.14053
Central Development Authority Block,33.6858,73.0311
Central Development Authority Colony,33.64284,73.03812
Chaghtan,33.671,73.3503
Chak Bhakhral,33.73333,73.08333
Chak Bira Singh,33.6758,73.1299
Chak Hayat,33.64623,73.11515
Chak Jabbi,33.75543,73.0328
Chak Kamdar,33.56922,73.27286
Chak Nara,33.76278,73.07952
Chak Natha,33.52018,73.20137
Chak Shahzad,33.67841,73.14233
Chak Shahzad,33.6902,73.1312
Chak Ugha,33.75774,73.06522
Chaki Bagh Town,33.65479,73.11048
Chakian,33.5665,73.258
Chamai Galli,33.6916,73.27795
Chanaul,33.62384,73.20345
Chatta Bakhtawar,33.66428,73.15554
Chauki,33.7602,73.06617
Chauntra,33.71913,72.98423
Chauntra Zamindaran,33.59802,73.25707
Cherah,33.64206,73.28
Cherāh,33.64583,73.28274
Chhani Misterian,33.59657,73.28777
Chhani Moshu Khan,33.60435,73.27975
Chhapar,33.65979,73.30052
Chhapran,33.69409,73.20353
Chhatar,33.78046,73.23849
Chhatar,33.77358,73.23633
Chhuhala Pattan,33.69351,73.36867
Chishtiabad,33.62037,72.97325
Chohala,33.73759,73.29096
Chucha,33.58066,73.16933
Chuchkal,33.54433,73.24189
Civilian Colony,33.56413,73.15575
Commerce Colony,33.53229,73.17723
Dadiya,33.76122,73.2298
Dajo,33.66793,73.13293
Dalla,33.66804,73.32987
Darbar Barri Imam,33.74572,73.11354
Darbar Sakhi Shah Muzamal,33.68714,72.9842
Darkala,33.66946,73.23883
Darra Jangian,33.74643,73.08637
Darwala,33.60796,73.21152
Dharek Mohri,33.68225,72.96059
Dharmian,33.69338,72.98304
Dheri Qila,33.71601,73.00968
Dheri Qila,33.71671,72.9771
Dheri Shah Sikandar,33.6958,72.962
Dhok Abbasi,33.66336,72.89783
Dhok Abdullah,33.65259,72.98074
Dhok Ashraf,33.6698,73.1329
Dhok Awan,33.5334,73.12779
Dhok Awan,33.66604,72.89231
Dhok Babu Gohar,33.68821,72.86562
Dhok Baggar,33.67667,73.03957
Dhok Bain Nilla,33.71613,73.28703
Dhok Bangial,33.626,73.19133
Dhok Chak Jaba,33.67889,73.04757
Dhok Chhelo,33.63931,72.94747
Dhok Chik,33.67823,73.26479
Dhok Dadan Khan,33.64927,72.95841
Dhok Darogha,33.59346,73.25754
Dhok Darzian,33.55266,73.18195
Dhok Feroz Khan,33.634,72.96995
Dhok Gujran,33.6098,73.27891
Dhok Hashu,33.61251,72.94983
Dhok Jauri,33.70029,72.85602
Dhok Jilani,33.72609,73.17355
Dhok Jiwan,33.73333,73.05
Dhok Joha,33.6757,72.91705
Dhok Kamlar,33.76356,73.135
Dhok Kanaiti,33.67416,73.26831
Dhok Kashmirian,33.65979,72.98648
Dhok Kashmirian,33.66742,72.90671
Dhok Kashmirian,33.51074,73.17845
Dhok Khokar,33.63697,72.93911
Dhok Lakhni,33.7111,73.26906
Dhok Madras,33.62711,72.90435
Dhok Maira,33.61839,73.29509
Dhok Makhanwali,33.60089,72.91791
Dhok Manga,33.65835,73.11462
Dhok Masalchi,33.56164,73.18885
Dhok Mian Abdullah,33.61165,72.96653
Dhok Mira,33.66244,72.98182
Dhok Mistrian,33.61616,73.2823
Dhok Mohra,33.61198,73.26683
Dhok Mohra Malal,33.66234,73.09593
Dhok Mondian,33.67457,72.86995
Dhok Mundeyawali,33.60795,72.93385
Dhok Nawab,33.55642,73.13504
Dhok Nur Khan,33.67791,73.09916
Dhok Palam,33.60036,73.26323
Dhok Parian,33.64234,72.88493
Dhok People,33.67398,73.18843
Dhok Pir Bakhsh,33.6704,72.91894
Dhok Qazian,33.59785,73.27077
Dhok Quresh,33.64106,72.93805
Dhok Rajgan,33.6774,72.85625
Dhok Ramzani,33.66327,72.91104
Dhok Ramzania,33.66178,72.92228
Dhok Saiyidan,33.71156,73.207
Dhok Saiyidan,33.65587,72.87006
Dhok Saiyidan,33.7032,73.00614
Dhok Sandemar,33.66316,72.87571
Dhok Sanjalian,33.72352,73.18408
Dhok Sarai Kharbuza,33.68249,72.90645
Dhok Sawaiyan,33.65653,72.93107
Dhok Shah Blaku,33.6202,72.96008
Dhok Shahzad,33.66958,72.87221
Dhok Sheikhan,33.67817,72.86135
Dhok Sulaiman,33.63748,72.96667
Dhok Taman,33.67854,72.86603
Dhok Umer,33.52904,73.18302
Dhok Waris,33.6816,73.1341
Dhok Zakri,33.65548,73.0185
Dhokri,33.70963,73.10304
Dohala Saiyidan,33.76504,73.24418
Dora,33.6344,72.87091
Faizabad,33.66327,73.07762
Farash,33.64862,73.18811
Farash Town,33.65157,73.20293
Fazalabad,33.61428,72.98728
Gagal Pani,33.75585,73.09798
Gaghar,33.58501,73.1869
Gaghari,33.56395,73.17871
Gandhian,33.72757,73.02267
Garh,33.70239,72.98657
Garha Shahan,33.52875,73.13817
Gasota,33.65526,73.30567
Gawala Colony,33.67911,73.12064
Ghagriot,33.66501,73.11756
Ghahan,33.66768,73.02979
Ghea,33.72247,72.98459
Ghorabaz,33.67186,73.19175
Giddar Kotha,33.71667,73.05
Gohra Mast,33.61364,73.2797
Gokni Kalan,33.78034,73.08768
Golra,33.69544,72.97715
Golra Mor,33.62685,72.97076
Gorian Nachoi,33.68203,72.88569
Gosha e Mashal,33.67214,73.10571
Gurha Sardar,33.63296,73.16339
Haidriabad,33.68257,73.3167
Haji Camp,33.61677,72.97219
Haran Maira,33.59049,73.17746
Hardo Gehr,33.57503,73.2363
Harno,33.65977,73.23177
Hon Dhamiāl,33.54789,73.21977
Humak,33.53796,73.12618
Iran Colony,33.73498,73.12867
Islamabad,33.72148,73.04329
Jab,33.73875,73.11854
Jaba Teli,33.64592,73.13457
Jabba,33.61732,73.30104
Jabbi,33.75469,73.14432
Jabbi Gakhran,33.57744,73.27704
Jagiot,33.67355,73.21364
Jandala,33.5723,73.2272
Jandala,33.72799,73.28199
Jandgaran,33.71822,73.28911
Jandi Rajgan,33.60193,73.25467
Jang Saiyidan,33.64305,73.2121
Jhanek,33.59255,73.2542
Jhang Bangial,33.7557,73.16161
Jhangi Saiydan,33.62531,72.94453
Jiddah Town,33.52002,73.1486
Justice Colony,33.74233,73.08761
Kadhiri,33.72352,73.00854
Kaeth,33.67972,73.34414
Kahial,33.70471,73.0311
Kaho Buta,33.59317,73.26774
Kak,33.54233,73.17506
Kalal,33.68659,73.32209
Kalanjar,33.72826,73.01838
Kaliah,33.63681,73.27532
Kalial,33.53333,73.21667
Kalian,33.68998,73.3006
Kalian,33.72288,73.2614
Kamalpur,33.74345,73.11268
Kangota Komeran,33.54991,73.22748
Kangota Saiyidan,33.57278,73.21523
Kangrian,33.77883,73.0425
Kanial,33.71456,73.02342
Karal,33.60532,73.139
Karlot,33.78884,73.2274
Kartal Pakhral,33.68059,73.14858
Katarian,33.71667,73.1
Kathril,33.59298,73.21545
Khadiot,33.58032,73.25968
Khadre,33.64201,73.1647
Khaian,33.75242,73.10679
Khan Akbar Town,33.63932,73.11289
Khanna,33.63102,73.12287
Khatar,33.67442,73.01265
Khurd,33.77247,73.06821
Khured,33.56271,73.19355
Kijnah,33.68619,73.3585
Kirpa,33.6228,73.23799
Koh-i-Noor,33.61679,72.98187
Koka,33.68901,73.01186
Korak,33.67125,73.00488
Kortana,33.51272,73.16371
Kot Hathial,33.74742,73.17981
Kotha,33.61998,73.26235
Kund,33.54084,73.11019
Kurang,33.73171,73.17898
Kuri,33.68068,73.17983
Labour Colony,33.73714,73.11169
Ladhot Saiyidan,33.58315,73.26156
Lakhwal,33.69896,73.14339
Lamiadhanan,33.70815,72.95215
Langrah,33.67844,73.27878
Las,33.75137,73.12727
Las,33.64541,73.28835
Lawyers Colony,33.54678,73.09989
Libana,33.70281,72.90252
Lodda,33.65946,73.02406
Lohi Behr,33.5817,73.16356
Lok Virsa,33.68861,73.07279
Mahalla Kumharan,33.75241,73.23039
Maida Halim,33.68942,73.03963
Maira,33.67101,72.97826
Maira,33.64785,73.29145
Maira Begwal,33.74168,73.26585
Maira Beri,33.70168,72.97784
Maira Chaudhrian,33.5239,73.18289
Maira Sambal Jafar,33.66132,72.97459
Mal,33.70107,73.21847
Malachh,33.77508,73.20973
Malata,33.76757,73.2536
Malhas,33.7,73.06667
Malka,33.7,73.05
Malka Kala,33.64572,73.30036
Malot,33.70876,73.21475
Malpur,33.72861,73.146
Malwari,33.78122,73.10066
