name,latitude,longitude
Aatar,34.91546,73.04689
Aba Kand,35.14217,71.85574
Aba Khel,32.24736,70.32762
Aba Khel,32.54932,70.26786
Aba Khel,32.24509,70.38308
Aba Khel,33.09714,70.40405
Aba Khel,32.56432,70.82664
Aba Khel,33.94603,72.0285
Aba Khel,33.19443,70.38429
Aba Shahid,31.88179,70.72996
Aba Shahid,31.87608,70.72718
Abad Khel,32.93536,70.94682
Abadanian,34.26736,73.27194
Abadi Umar,32.59669,70.51247
Abai,34.68514,72.82377
Abak,32.56914,69.84105
Aban,34.81068,72.9869
Abashtek Ghari,35.96651,71.58312
Abasin Colony,34.0706,72.6269
Abassi Sairi,34.3449,72.31608
Abazai,34.31927,71.5926
Abazo,34.16849,72.44276
Abazo Dheri,34.36346,71.83498
Abbas Banda,32.631,70.93442
Abbas Kalle,34.41637,71.87389
Abbas Kalle,34.15584,71.84214
Abbas Kalle,32.95937,70.61596
Abbas Khan,32.80603,70.7822
Abbas Khan Kot,32.71292,69.81672
Abbas Khel Raghzai,32.36833,69.78722
Abbas Kili,32.96333,70.52222
Abbasa Banda,32.79083,71.05616
Abbasi Banda,33.36708,70.60246
Abbottabad,34.1463,73.21168
Abbur,35.98157,72.4271
Abdal,34.26389,73.26939
Abdarra,33.98403,71.51181
Abdi Khel,32.81583,70.28391
Abdul Akbar,34.25676,71.80678
Abdul Aziz Koruna,34.34861,71.71944
Abdul Hakim,32.87362,70.64962
Abdul Haliq Koruna,34.34964,71.68479
Abdul Haq Kili,34.2625,71.87949
Abdul Karim Khan,32.81778,70.73337
Abdul Karim Shah,32.75417,70.79917
Abdul Khalil Koruna,34.26772,71.54433
Abdul Khan,34.33347,71.93678
Abdul Khel,32.39967,70.91311
Abdul Khel,32.31461,70.97605
Abdul Majid Banda,33.27192,71.16475
Abdul Majid Korona,34.19076,72.41532
Abdul Manan Kalle,34.31715,71.70517
Abdul Muhammad Koruna,34.27284,71.78382
Abdul Rahim,34.04532,71.62844
Abdul Rahman,32.98303,70.55798
Abdul Rahman Koruno,34.13005,71.81839
Abdul Rashidabad,33.86279,72.23401
Abdullah Bagh Kalle,32.40194,69.68889
Abdullah Banda,34.9275,71.74528
Abdullah Kalle,33.82976,70.06745
Abdullah Khan,32.91961,70.54394
Abdullah Khan,32.898,70.69845
Abdullah Khan Sadozai,32.81117,70.81275
Abdullah Kor,34.50558,71.29568
Abdullah Nur Kaskai,32.42503,70.00176
Abdullah-di-Basti,35.0328,74.032
Abdullaha Akbar,34.32794,71.95567
Abdullahabad,34.20767,71.77164
Abdullahabad,34.03784,71.58054
Abdullahabad,34.05657,71.58933
Abdullahpur,33.97404,72.88598
Abdulwadanai,32.51138,69.84236
Abdur Rahman,32.86194,70.62528
Abdur Rahman Khel,32.56155,69.65101
Abdur Rehman Shah Kalle,34.32357,71.68838
Abezai,32.97316,70.62658
Abezari,32.9671,70.57726
Abhom Baihk,35.10575,73.77372
Abid Khel,33.01985,70.87962
Abizar,32.27702,70.51727
Abo,34.45067,72.76507
Abo Banda,34.1723,72.44136
Abo Bograi,34.89484,71.99289
Aboha,34.66294,72.1875
Abshar Colony,34.02096,71.53445
Abu,34.51362,72.87715
Abu Patti,34.85276,72.11126
Abudag,33.6733,71.02024
Abuwali,32.35043,71.24125
Academy Town,33.99168,71.48029
Achar,34.94006,72.61745
Achar,34.9787,72.66653
Achar,35.19765,72.02613
Achelai,34.24088,72.71718
Achhar,33.97738,71.55978
Achhro Banda,34.95243,73.11378
Achhunagusht,35.72819,71.61113
Achina,33.9714,71.46787
Achini Bala,33.96109,71.46633
Achini Maira,33.96109,71.45192
Achini Payan,33.9676,71.46712
Achini Payan Maira,33.9796,71.4588
Achoti,35.4514,73.36625
Achro Banda,34.84569,72.5845
Achu Khel,32.55213,70.98364
Ad Mela,33.97071,70.20826
Ada Punga,32.49389,69.61083
Adad Banda,34.91055,71.57183
Adai,34.92412,72.01419
Adai,34.82769,71.38686
Adai,34.8776,72.5299
Adai,34.9055,72.54844
Adalat Colony,34.0548,72.69178
Adam Baba Ziarat,33.70604,71.74598
Adam Banda,33.28971,70.70328
Adam Burj,32.36611,69.83111
Adam Dherai,34.68286,72.03567
Adam Kalla,32.94421,70.93891
Adam Kalle,33.28692,70.52536
Adam Khan,34.4114,71.90753
Adam Khan,32.71164,70.66592
Adam Khan Darra,34.59376,72.48651
Adam Khan Darra,34.59529,71.54651
Adam Khan Kili,32.33147,70.12574
Adam Khan Malik Banda,35.62714,72.51828
Adam Khel,33.77058,70.94515
Adam Khel Banda,33.5374,71.11105
Adam Khel Kili,34.1424,71.41101
Adam Shah,35.06402,72.41044
Adam Shahgai,34.90994,71.46686
Adamabad,32.20707,70.34914
Adamzai,32.61786,70.63746
Adamzai,33.98546,72.1591
Adda,34.2166,72.985
Adda,34.36312,72.66838
Adda Lunda Sharif,31.66307,70.78876
Adda Shah Hussain,31.60283,70.77345
Addha Pakha,33.79108,70.70102
Adezai,33.78666,71.57701
Adgan,34.15374,71.70988
Adh Bandiar,34.37987,73.28761
Adha Khiarah,31.68733,70.62838
Adiar,34.58574,73.40232
Adil Kalle,33.85755,71.57154
Adil Sipra,31.62923,70.67432
Adil Sipra Khurd,31.63447,70.68353
Adin Gul Kalle,33.0094,70.79987
Adin Khel,34.57302,71.25671
Adina,34.21943,72.26205
Adinai,35.10104,72.65133
Adira Mela,32.57262,70.01916
Adire Nakka,33.71656,70.6244
Adizai,34.1615,71.59592
Admi Kot,33.02942,69.50985
Ado,34.72638,72.95025
Ado,34.96473,71.56486
Ado,34.93386,71.92613
Ado Garang,33.03387,71.43842
Ado Sion,36.33568,72.27628
Adrakh,36.41269,72.47094
Adrer,35.25806,72.61778
Adrolat Baihk,35.20227,73.75669
Adu Kalle,33.67835,70.45077
Adu Tangai,34.79608,72.12313
Adukai,34.95212,71.96127
Adyo Bagh,33.69094,70.70836
Aero Baro Banda,34.22454,72.62248
Aesif,33.11836,71.24098
Aey Kor,34.51801,71.2852
Afghan Colony,34.02814,71.59255
Afghan Colony,32.97707,70.51287
Afghān Colony Number Two,34.0264,71.5864
Afridi Banda,33.53742,71.24672
Afridi Garhi,34.01171,71.616
Afridi Kalle,34.05371,71.56454
Afridi Kalle,34.11706,71.97119
Afridiabad,33.48671,71.46403
Afridiabad,33.98792,71.57899
Afsare Mall Kalle,34.09528,72.12383
Afshan Colony,33.99173,71.55633
Afsik,36.15798,71.44106
Afzalabad,34.20705,71.83183
Afzalabad,34.46455,73.13533
Afzalabad,34.28185,71.99309
Afzalabad,36.18897,71.67255
Afzalabad,34.36459,73.21702
Afzalian,34.10412,71.82321
Agara,34.59036,71.4303
Agarai,34.38781,72.53502
Agarbia Biland Khel,33.33371,70.53643
Aghai Garh,34.42973,71.76783
Aghal,35.02607,72.33773
Aghal Kalle,33.71849,70.79188
Aghalai,33.70741,70.59314
Aghbargai Khullah,32.39592,69.94744
Agher China,34.68687,72.57249
Agherale,34.94785,71.61255
Aghtargai,32.52068,69.27818
