name,latitude,longitude
A Block,31.46488,74.30469
Aba Khel,32.60392,71.66233
Abadgiran,32.45405,74.08929
Abadi Allah Wasaya,30.71928,73.01124
Abadi Araian,30.75592,73.79531
Abadi Chak Four Hundred Forty-five Gugera Branch,31.01463,72.96997
Abadi Chak One Hundred Eight - Eastern Bar,30.28694,72.71885
Abadi Churera,30.94861,73.60278
Abadi Dastagir,30.44459,73.71091
Abadi Joianwali,30.36245,73.53194
Abadi Khichian,30.98867,73.52504
Abadi Malkan,31.31011,73.71134
Abadi Malul,30.75334,73.82928
Abadi Maula Bakhsh,30.75244,73.14535
Abadi Nonarian,30.23474,73.66775
Abadi Nur Muhammad,31.33997,72.96607
Abadi Pir Gul Sher,30.59927,73.8323
Abadi Rai Ganga Ram,30.51667,73.13333
Abadi Rao Ahsan,30.67596,73.75271
Abadi Shahamad Khan,30.64861,73.50833
Abadi Sultan Mehar,30.22975,73.59143
Abadian,32.25489,73.75698
Abadpur,28.69316,70.25561
Abadpur,29.83027,70.54848
Abadpur,28.23203,70.03614
Abagat,31.74988,72.25033
Abaid Ali Khel,32.92442,71.3333
Abaiwala,30.08711,71.21756
Abal,30.77617,73.76593
Abal Colony,32.10233,72.6723
Abaliwala,30.33389,71.04335
Abara Khel,32.86665,71.39558
Abarwala,30.05122,71.41025
Abasianwala,32.15793,71.74163
Abassianwala,32.06256,71.34639
Abassnagar,31.79152,72.93335
Abaura Janubi,29.45773,71.21163
Abba Khelwala,32.46389,71.82778
Abbal Shahwala,30.89578,70.72002
Abbanwala Toba,29.2775,72.06778
Abbas Baghurwala,32.11215,71.75579
Abbas Chowk,30.16282,72.04847
Abbas Jhangi Khelwala,32.47355,71.81394
Abbas Khelanwala,32.5266,71.76858
Abbas Lines,31.5089,74.3862
Abbas Nagai,32.68873,74.44606
Abbas Nagar,31.16495,70.9792
Abbas Nagar,31.86658,74.23398
Abbas Nagar,31.10459,72.09008
Abbas Nagar,31.06975,72.06838
Abbas Nagar,29.43769,71.47095
Abbas Nagari,28.96329,70.68619
Abbas Nagarwala,29.59583,71.77083
Abbasabad,31.45022,74.25437
Abbasi Mahalla,33.9014,73.402
Abbasianwala,30.15655,73.60141
Abbasnagar,30.21296,73.58209
Abbasnagar,30.04848,73.26758
Abbasnagar,29.90391,73.0023
Abbasnagar,29.45738,71.91108
Abbaspur,29.17778,71.33194
Abbaspur,30.0658,71.44216
Abbaspur,30.58922,71.94136
Abbaspur,30.55844,72.19428
Abbaspur,30.89936,71.88046
Abbaspur,31.48519,72.31089
Abbaspur,30.49576,71.65877
Abbaspur,32.08385,72.44153
Abbaspur,30.25461,71.59016
Abbaspur,29.90875,71.3369
Abbaspura,30.8174,73.72153
Abbaspura,31.24884,72.32623
Abbass,33.49147,71.94454
Abbaswal Khu,30.42999,71.60877
Abbaswala,32.725,71.31389
Abbaswala,30.39221,70.85327
Abbaswala,30.25772,71.31977
Abbaswala,30.94459,70.72039
Abbaswala,29.75565,71.62095
Abbaswala,30.80003,70.99032
Abbaswala,29.6625,71.62778
Abbaswala,30.41166,71.05066
Abbaswala,29.98831,70.56381
Abbaswala Khu,30.36502,71.08179
Abbawala Khu,31.68428,72.96832
Abbuwala,32.0439,72.33997
Abbāsnagar,29.45778,71.91667
Abdal,32.22407,74.26165
Abdal,32.0682,73.20244
Abdal,32.28764,73.05762
Abdali,32.32582,74.62196
Abdali Colony,30.19061,71.45336
Abdalia,31.57865,74.1262
Abdalpur,32.42016,73.14788
Abdewala,31.47048,71.40815
Abdewala,31.49853,71.41847
Abdul Aziz Chanan Basti,29.66543,72.41351
Abdul Ghani di Bhaini,29.91908,72.12312
Abdul Ghaniwala,29.85381,71.3449
Abdul Hakim,29.34058,71.13712
Abdul Hakim,30.55195,72.12616
Abdul Hakim di Basti,29.7718,72.24058
Abdul Hussainwala Khu,30.52762,71.64719
Abdul Karimwala,30.72475,70.68662
Abdul Khaligwala,31.12594,74.47478
Abdul Khaliq Mahar,28.23175,69.93261
Abdul Majid Arain,30.83482,71.53188
Abdul Majid Arain,28.94861,70.92083
Abdul Malik,32.19849,74.57565
Abdul Rahim Khan,32.92778,71.39306
Abdul Rahim Mekan,29.30601,70.37868
Abdul Rahimwala,32.69928,71.25954
Abdul Rahman Mustai,28.30447,69.82168
Abdulgani di Bhaini,29.86817,72.86485
Abduliahwala,30.82972,71.22097
Abdullah Di Basti,28.82907,70.46517
Abdullah Pur,32.63994,73.30688
Abdullah Shahid,28.88271,70.27119
Abdullah Town,32.32344,74.3417
Abdullahabad,32.49509,74.36711
Abdullahabad,29.99046,71.85502
Abdullahka Dera,31.85046,73.12043
Abdullahpur,32.01697,74.03135
Abdullahpur,31.21375,72.02527
Abdullahpur,32.13655,74.03852
Abdullahpur,31.69704,72.57737
Abdullahpur,28.54167,70.32639
Abdullahpur,32.0592,73.48786
Abdullahpur,29.7729,72.59736
Abdullahpur,28.50694,70.31667
Abdullahpur,31.42388,73.10769
Abdullahwah,29.93777,72.40001
Abdullahwala,30.60527,70.9488
Abdullahwala,30.90373,70.88502
Abdullahwala,30.60888,72.11001
Abdullahwala,28.575,70.00833
Abdullahwala,30.13255,71.63204
Abdullahwala,30.34276,71.02295
Abdullahwala Khu,28.34511,70.51584
Abdullahwali,31.17178,70.4663
Abdullāhwāli Khūi,28.56667,70.85
Abdulwala,29.53695,70.87092
Abdur Rahim Basti,28.35143,69.89875
Abdur Rahman,33.96758,72.54409
Abdur Rahman Arori Khelanwala,32.48475,71.60311
Abhianwala Sharqi,31.42326,73.75006
Abhiul Gujran,32.32523,75.32435
Abhulke,31.68528,72.70389
Abial,32.83815,73.87747
Abial Dogar Kalan,32.33941,75.30633
Abial Dogar Khurd,32.33555,75.3079
Abid Ali Colony,32.0726,72.39478
Abid Amin Elani,31.26995,74.12768
Abid Colony,28.31733,70.14004
Abid Hussain Colony,31.77681,72.25815
Abid Park,31.64388,74.27981
Abid Park,31.59939,74.32779
Abid Town,31.69116,74.29376
Abid da Dera,28.5654,70.49999
Abidabad,31.93898,73.92602
Abidabad,29.44267,70.4229
Abizar Khelanwala,32.55,71.71667
Abizarwal,32.48058,71.79921
Abrar Town,30.21752,71.45265
Abrera Uttar,30.06447,73.27
Abrind,29.77138,70.67829
Abrindwala,30.05801,70.66111
Abu Bakar Block,31.5134,74.3264
Abu Bakar Park,31.6116,74.263
Abu Bakar Park,31.6021,74.3267
Abu Bakr,33.9566,72.45955
Abu Said,29.4952,71.31174
Abubakar,33.41233,73.2139
Abuhta,30.09787,71.29845
Abul Khair,31.61533,74.23648
Abulfatehwali,32.41214,74.18402
Abuwala,29.52591,71.45786
Abwala,33.43963,72.37344
Abyala,32.54047,74.39441
Achalke,30.88374,74.09932
Achalwala,30.34346,71.77298
Achalwali,32.13624,75.04188
Acharki,30.07392,73.32412
Achh,32.8666,74.12812
Achhanagar,30.13329,73.44789
Achhar,32.25775,72.42517
Achharwal,31.86978,73.01185
Achhe Pirwala,29.79444,71.55833
Achhral,33.52384,72.46815
Achhralanwala,32.35553,71.43448
Achli,32.21935,75.11084
Achran,32.52509,72.99649
Achrariki,30.18575,73.59551
Ada,32.09685,75.06041
Ada Bubak,31.17648,72.60187
Ada Bula Jhulan,29.17769,70.93073
Ada Charagh Shah,29.41782,70.49063
Ada Colony,31.20308,72.52321
Ada Dhirde,31.76937,74.01803
Ada Fourteen Pull,30.68006,72.05149
Ada Ghulam Hussain,30.04723,72.15529
Ada Hayatwala,31.77176,71.39793
Ada Jehan Khanwala,31.55495,71.16703
Ada Nur Gharh,29.90162,71.82103
Ada Plat,31.36216,74.23373
Ada Sahianwala,31.74438,71.27336
Ada Twenty-five Pull,30.72315,72.05328
Adal Khu,31.52642,71.15455
Adalatgarh,32.49217,74.48614
Adalatgarh,32.62755,74.30769
Adalzai,33.95366,72.46718
Adam Bhir,30.33306,71.68269
Adam Chuhan,32.86734,74.08135
Adam Fabries,31.46342,73.0859
Adam Khelanwala,32.55371,71.69031
Adam Khelānwāla,32.6,71.75
Adam Sahab,28.36449,70.19365
Adam Sherwala,29.72857,71.41406
Adam Wahan,29.46803,71.64973
Adamke,32.38235,74.35447
Adamke Nagra,32.32508,74.49451
Adampur,28.21862,69.92349
Adamra,32.39852,74.47914
Adamwala,30.28769,70.70121
Adamwala,30.17209,71.05036
Adamwali,28.47994,70.22204
Adanwala,29.92255,70.93204
Adanwala,30.08494,71.04519
Adawal Kalan,32.60208,74.05708
Adbaddhi,31.73056,71.35278
Adbaddiwala,30.42083,71.1375
Adda Acharwal,31.86876,72.98996
Adda Aminpur,29.87293,72.28824
Adda Bagharipul,30.66562,73.2423
Adda Balani,32.92547,73.9291
Adda Balochan,30.37711,71.67184
Adda Bara Mil,30.4904,71.92552
Adda Bashirabad,31.08376,72.69673
Adda Basira,29.92124,71.51798
Adda Begowali,32.47198,74.28924
Adda Bidder,33.09372,73.26068
Adda Bustan,32.14634,75.07046
Adda Chabiana,30.08707,73.47761
Adda Chachran,29.1334,71.20441
Adda Chak Eighty-seven,28.78403,70.91804
Adda Chak Shahid,29.26625,70.31439
Adda Chanddni,30.59504,72.77327
Adda Chimranwali,31.31303,72.64834
Adda Dawa,29.87347,71.53128
Adda Double Phatak,30.13395,73.55082
Adda Eight Mile,30.57595,73.14971
Adda Faridpur,30.04559,71.57943
Adda Fateh Rihan,31.72287,74.40813
Adda Ghaziabad,30.40635,72.75304
Adda Gholam Aliwala,30.1646,71.07004
Adda Gudar Puli,30.42292,73.76279
Adda Gunna Kalan,32.41769,74.59124
Adda Hajiabad,31.80876,72.78028
Adda Hari Chandwala,29.83776,72.25245
Adda Hassu Balel,31.03239,71.99107
Adda Jalal Shah Wala,29.85943,71.48809
Adda Jhanib Pul,30.24586,73.1667
Adda Joghi,31.24319,71.21704
Adda Kamarwala,30.58033,71.12763
Adda Karol Ghati,31.61079,74.36509
Adda Khui,31.21721,72.47324
Adda Kot Shakir,31.48014,72.06929
Adda Kudwala,29.18158,71.86795
Adda Loharanwala,29.86943,71.11213
Adda Lundo,29.91225,72.11168
Adda Mahowala,29.67713,72.39881
Adda Mangtanwala,31.35315,73.83792
Adda Mochiwala,31.29879,72.53197
Adda Muhammadnagar,30.27476,72.98453
Adda Munirabad,29.72306,71.4227
Adda Naiwala,30.30759,71.23779
Adda Nasirabad,30.58042,71.11912
Adda Nine Kassi,30.07345,71.69135
Adda Nurpur,30.45102,72.00234
Adda Pul Faridabad,29.53642,71.83794
Adda Pul Murad,29.71057,73.00279
Adda Pull Jerala,30.72483,72.14386
Adda Rashidabad,28.8165,70.84457
Adda Sadiqabad,31.85149,72.1086
Adda Saidiwala,30.52124,71.2275
Adda Shabirabad,30.56754,71.32265
Adda Sherabat,31.5064,72.55085
Adda Sherazi Nagar,30.40839,72.46296
Adda Sial,29.56299,71.43573
Adda Six Terpai,30.05748,71.71884
Adda Two-Right,30.28041,71.17421
Adda Zahirabad,29.82108,71.66853
Addewala,30.19775,71.06446
Addhopari,30.70331,73.84324
Addian,31.84729,74.45095
Addipur,30.29861,73.37778
Addo Chak Forty-one Desert Branch,29.24007,71.75524
Addowali Basti,29.55013,71.14556
Addu Khui,30.49798,72.84059
Adduwala,30.31793,71.06577
Ade ke Sagle,30.68056,72.91389
Adelwala,29.58111,72.02613
Adewala,30.57083,70.72917
Adewala,29.45017,70.59547
Adha,32.44057,74.48549
Adha,32.22974,75.00333
Adhabadahiwala,31.77173,71.18091
Adhan,31.48333,73.59444
Adhanwala,31.11141,72.10488
Adhawala,32.58188,74.04726
Adhawala Khu,31.87833,72.94584
Adhawali Khui,32.60648,74.1452
Adhgarh,30.325,71.09167
Adhi Bagh,30.03345,71.3701
Adhi Kot,32.10543,71.80603
Adhi Sargal,32.19477,71.82752
Adhiane Shadhoke,30.78644,72.94023
Adhiwala,31.401,72.44868
Adhorawala,29.70106,71.87796
Adhrahma,32.18512,73.22156
Adhwal,33.3255,72.92218
Adhwana,32.23898,75.30257
Adiala,33.45901,72.99618
Adilabad,30.28904,70.97041
Adilgarh,32.31358,74.09607
Adilke Wattu,30.26641,73.59835
Adilwala,31.26451,70.91274
Adilwala,31.01554,71.34722
Adilwala,31.79431,71.18675
Adilwala,30.68889,70.71667
Adilwala,29.00478,70.3144
Adilwala Khu,31.48311,71.17933
Adin Khel,32.55747,71.73036
Adiwala,30.29421,71.04623
Adlakka,32.86981,72.43506
Adlana,30.12065,73.42782
Adlipur,32.17638,74.70723
Admal,31.46355,73.90635
Admal,33.52683,73.33395
Admani,32.65426,73.37234
Ado Rai,32.05859,74.191
Ado Sarwani,32.4899,73.70512
Adoke,32.23825,74.73667
Adoke Kalan,32.08751,74.67774
Adowal,32.61671,73.18317
Adra,33.58549,73.03917
Adra Kalan,33.14138,73.32435
Adra Khurd,33.15265,73.31732
Adra Usmanzada,33.18861,73.19521
Adrana,32.97541,73.42471
Adrian,33.12136,73.15151
Adu Khelanwala,32.79372,71.30575
Adu di Bhaini,30.40196,72.37679
Aduke Khurd,32.0343,74.74625
Aduwala,31.12363,71.61559
Adwani Khu,32.36287,73.26712
Aeniwala,30.34778,71.88743
Aerianwala,30.88233,71.71986
Afandi Colony,33.6321,73.0819
Afanji Town,32.11773,74.1834
Afghan Mahajrin Camp,32.97348,71.48518
Afghanabad,31.41583,73.07396
Afghānān,32.15,75.06667
Aflatun Mohallah,31.5492,74.386
Afridian,30.48333,72.26667
Afshan Colony,33.5989,73.0169
Afshan Park,31.59755,74.40753
Aftab Colony,30.78962,73.49434
Aftab Town,33.5942,72.9986
Afzadabad,31.61222,72.96077
Afzal Colony,33.586,73.112
Afzal Park,31.5892,74.3519
Afzal Town,31.6039,74.3487
Afzalabad,30.51268,72.18906
Afzalabad,29.24874,70.42315
Afzalpur,29.86714,72.75804
Afzalpura,32.24915,75.15303
Afzalpura,32.04379,74.76153
Afzalwala,31.46057,71.52542
Agah da Khu,31.20999,73.54563
Aganiwala,30.20394,70.6482
Agar Khelanwala,32.51065,71.56696
Agarian,32.03154,74.61495
Agarwala,29.82883,71.11273
Aggarke Khu,31.97282,73.22894
Aghapur,29.32886,71.60494
Agharabad,30.16382,73.52936
Agla Mohra,33.42376,73.34282
Agli Luni,33.44149,73.37029
Ago Munda,32.1934,75.05012
Agora,32.41082,75.15987
Agowala,32.29442,74.89191
Agra Khu,31.15632,73.40656
Agroha,32.38218,73.69734
Agumar,32.65,71.99628
Agwal,32.35961,74.92775
Agwal,32.30313,75.11703
Ahado Khan Mazari,28.54872,70.10062
Ahar Bela,30.51494,71.69991
Ahara Radhe Singh,30.88056,72.99167
Aharwala,30.5093,71.08087
Ahat Shaikhan,32.43503,74.13238
Ahata,30.73056,72.78333
Ahata Ahmed Khan,30.73512,73.00515
Ahata Amin Sukhera,29.75372,73.14797
Ahata Chaudhary Khalil,29.70571,73.09107
Ahata Devi Dial,31.9775,74.35761
Ahata Fazal Din,29.74381,73.12538
Ahata Gardawar,29.73173,73.10524
Ahata Hakim Ali,29.62936,73.05302
Ahata Javahar Singh,31.25688,73.66942
Ahata Kalewala,29.88774,73.04057
Ahata Karamchand,29.9046,73.20355
Ahata Khai,30.91556,73.12861
Ahata Khai,30.91859,73.10164
Ahata Khokhranwala,30.89243,73.30385
Ahata Main Faiz,30.99741,72.28603
Ahata Mehmud,30.81998,73.02885
Ahata Mir Fattiana,30.85556,72.99167
Ahata Nur Muhammad,30.76559,73.04662
Ahata Pir Mazharwala,29.81582,73.13438
Ahata Pir Muhammad,29.68463,73.15335
Ahata Pir Zamanwala,29.80853,73.11161
Ahata Piran,30.88515,73.29212
Ahata Piran da,29.94298,73.11082
Ahata Qaziwala,29.88618,73.04525
Ahata Sahna Singh,31.25373,73.60642
Ahata Shah Muhammad,29.88948,73.28508
Ahata Tahir Shah,30.81541,73.13635
Ahata Thanadar,31.58889,74.33333
Ahate,31.19311,72.75595
Ahdi,32.53749,73.55126
Ahdi,33.14143,73.12636
Ahdian,31.84924,74.42769
Ahdipur,32.07261,74.61786
Ahi,32.43657,74.89366
Ahil Ghumanan,32.28543,74.83834
Ahir Sarkhro,32.02971,72.32859
Ahiran,31.86736,71.23306
Ahiranwala,32.49609,71.37807
Ahiranwala,32.06012,71.38342
Ahiranwala,32.49393,71.42096
Ahiranwali,32.04845,72.531
Ahirewala,31.32005,72.44416
Ahirewala,31.25157,72.47435
Ahl Paswal,33.63756,72.84102
Ahla,32.59481,73.4051
Ahlake,32.18239,74.59161
Ahlewala,31.75881,72.72046
Ahli,32.4468,72.84224
Ahli Kambah,31.85374,72.27098
Ahli Mahajir Colony,32.28678,72.92017
Ahli Mari Sapali,32.3067,72.97578
Ahlirawan,31.89491,72.77511
Ahlo Lai Khurd,32.16602,74.79202
Ahlokian di Wan,30.27751,73.49101
Ahluka di Bhaini,30.24834,73.45937
Ahluwal,31.08043,73.94177
Ahluwala,31.54583,73.72222
Ahluwala,31.38356,74.40541
Ahmad,32.60475,71.74961
Ahmad,29.40617,70.78426
Ahmad,32.61667,72.04167
Ahmad Ali Miān,32.19167,73.05
Ahmad Ali Nun,29.88925,72.65291
Ahmad Aliwala,30.26477,71.16071
Ahmad Araian,29.93962,72.171
Ahmad Bakhsh,28.6863,70.38269
Ahmad Bakhsh,29.10279,70.71275
Ahmad Bakhsh Awan Da Dem,31.91356,72.01737
Ahmad Bakhsh Patwari,29.89815,70.49578
Ahmad Bakhshwala,30.81119,70.71491
Ahmad Bakhshwala,30.14505,70.98974
Ahmad Bakhshwala,29.77784,71.64064
Ahmad Bakhshwala,30.19216,71.61111
Ahmad Bakhshwāla,30.37917,71.16667
Ahmad Bari,30.17159,71.06715
Ahmad Barthwala,32.61264,71.60317
Ahmad Bhadwalwala Dera,31.54252,71.67946
Ahmad Chirawala,30.96111,71.60278
Ahmad Colony,30.88851,73.61697
Ahmad Darawala,30.9942,71.21939
Ahmad Dhandi,30.77639,74.38056
Ahmad Din,28.84444,70.84306
Ahmad Gabra,29.53056,70.71389
Ahmad Gadhoke,30.29584,73.6788
Ahmad Gobolewala,29.92945,70.60467
Ahmad Khamwala,31.30656,71.34149
Ahmad Khan,28.65446,70.58504
Ahmad Khan,28.72995,70.42107
Ahmad Khan Colony,32.54201,71.92382
Ahmad Khan Gobal,29.98643,70.8496
Ahmad Khan Gotha,30.0454,70.23587
Ahmad Khan ki Ari,30.1,71.025
Ahmad Khanwala,32.63013,71.59354
Ahmad Khanwala,30.01484,72.65359
Ahmad Khanwala,31.34722,71.17083
Ahmad Khanwala,32.17595,71.41151
Ahmad Khanwala,31.32757,71.97198
Ahmad Khanwala,32.04665,71.46183
Ahmad Khanwala,32.62244,71.7922
Ahmad Khanwala,30.11823,71.25113
Ahmad Khel,33.17908,71.858
Ahmad Kodan,28.9,70.5
Ahmad Lar,28.70278,70.49108
Ahmad Lodhranwala,31.48031,71.98788
Ahmad Mohana,29.94327,70.91923
Ahmad Muqrabwala,32.46111,71.81667
Ahmad Nagar,30.52802,71.76435
Ahmad Nagar,31.78541,72.8897
Ahmad Nagar,31.3589,73.09649
Ahmad Nagar,30.2993,71.89992
Ahmad Nagar,28.91647,70.80429
Ahmad Nawabwala,32.55,71.7
Ahmad Nawaz Ahir,30.76293,71.68262
Ahmad Nawazwala,32.05942,71.45742
Ahmad Park,31.78802,74.26933
Ahmad Park,31.6063,74.34336
Ahmad Park,31.6071,74.3151
Ahmad Park,31.51446,74.32548
Ahmad Shah,28.46048,70.31197
Ahmad Shah,30.84324,73.15831
Ahmad Shahi,31.96809,71.5187
Ahmad Shahwala,30.65833,70.66667
Ahmad Shahwala,31.93988,71.13593
