name,latitude,longitude
A C Chak,24.61538,69.15494
A Q C Chak,24.58012,69.15117
Aadho Mirbaher,27.94181,69.20457
Aadi Jagir,27.32717,67.88131
Aatna Mori,25.61309,69.20741
Ab,26.68572,68.51816
Aba Shoikh,24.61578,68.85019
Abad,27.2709,67.99615
Abad,27.43672,67.88835
Abad,26.55333,67.67601
Abad,27.16667,69.08333
Abad,28.18856,68.51713
Abad,27.61003,69.15577
Abad,24.57917,67.88667
Abad Goth,27.80313,68.55885
Abad Khan Khoso,25.91857,68.19127
Abad Mehlani,27.93611,68.91262
Abadi Kacha Qila,25.3805,68.3649
Abadi Shah Maki Sharif,25.3769,68.3623
Aban Lashari,24.91465,68.2538
Aban Shidi,25.21164,69.32164
Aban jo Tar,24.79262,70.36597
Abbas Kirio,26.23153,68.60034
Abbas Machhi,25.34583,69.30278
Abbasi Guli,25.4007,68.38104
Abbasi Nagar,24.831,67.1291
Abbottabad Lines,24.9509,67.2029
Abdu Goth,27.83041,68.7776
Abdu Karim,27.95,69.13333
Abdul Alim Mangria,28.16833,68.53937
Abdul Aziz Chacher,28.09502,69.77862
Abdul Aziz Khan,28.3059,69.10973
Abdul Aziz Kiryo,26.54028,68.15556
Abdul Aziz Punjabi,26.50123,68.11721
Abdul Bher Chund,28.06642,68.53701
Abdul Chander Khan,24.79468,69.052
Abdul Fateh Khan Khosa,28.3928,68.84349
Abdul Ghafar Panjabi,25.31431,68.60789
Abdul Ghafur,27.6107,67.7986
Abdul Ghafur,26.99694,68.22625
Abdul Ghafur,26.24875,68.53524
Abdul Ghafur Bhangwar,28.29498,69.35863
Abdul Ghafur Khaskeli,27.06066,68.54167
Abdul Ghafur Laghari,24.52382,68.14783
Abdul Ghafur Mallah,24.41751,68.79985
Abdul Ghafur Punjabi,24.75252,69.14479
Abdul Ghafur Punjabi,24.85215,69.22826
Abdul Ghafur Sand,25.91502,68.57188
Abdul Ghani,28.42268,68.66278
Abdul Ghani Khosa,28.35184,68.98844
Abdul Ghani Muhajir,26.68301,68.18555
Abdul Hai Arain,26.43214,68.2964
Abdul Hakim,25.2375,69.59028
Abdul Hakim,26.18718,68.20351
Abdul Hakim Arisar Jo Tar,25.61492,69.95351
Abdul Hakim Brahui,26.01526,68.59112
Abdul Hakim Gaho,26.29932,69.07142
Abdul Hakim Khokhar,26.79476,68.11435
Abdul Hakim Khoso,28.21902,68.61748
Abdul Haleem Golo,28.19785,69.28217
Abdul Halim Gaicho,27.46749,67.46593
Abdul Halim Jat,24.37262,68.98614
Abdul Hamid Punjabi,24.82725,69.11245
Abdul Hamid Qureshi,26.22526,68.59889
Abdul Hamid Tonio,27.29067,67.79039
Abdul Haq Bhatti,27.35883,68.53255
Abdul Haq Chandio,27.83707,67.75795
Abdul Haq Khosa,28.25426,68.54384
Abdul Haq Khosa,28.42591,68.58168
Abdul Haq Mallah,24.35798,68.93912
Abdul Jabar Gopang,24.6452,68.84165
Abdul Jabbar,25.40508,68.95031
Abdul Jabbar Bugti,28.37573,68.8097
Abdul Jabbar Domki,28.40143,69.27893
Abdul Jan,28.42167,69.67905
Abdul Karim,28.15505,68.12502
Abdul Karim,26.32269,68.10827
Abdul Karim,27.58744,67.82431
Abdul Karim Brahui,26.08769,68.50464
Abdul Karim Burt,26.38999,68.46285
Abdul Karim Jakhrani,28.01481,68.33782
Abdul Karim Jat,24.34084,68.12483
Abdul Karim Kalhoro,27.1963,68.29708
Abdul Karim Kalro,25.35629,69.42763
Abdul Karim Khan Kathore,28.32546,68.65576
